make,fuel_type,body_style,engine_size,horsepower,curb_weight,price
BMW,Gasoline,SUV,310,100,3225,37383
Ford,Diesel,SUV,291,60,2343,44963
Toyota,Diesel,SUV,143,240,3876,18662
BMW,Diesel,Hatchback,128,234,3546,18739
BMW,Diesel,Hatchback,158,176,2858,6789
Ford,Gasoline,Hatchback,170,189,3423,24420
Toyota,Diesel,SUV,191,122,3241,28761
Toyota,Gasoline,Hatchback,364,51,2444,45366
BMW,Gasoline,Sedan,319,57,3788,42606
Honda,Gasoline,Sedan,314,299,2221,43640
BMW,Gasoline,Hatchback,376,188,3406,49135
BMW,Gasoline,Sedan,163,173,3904,42067
BMW,Diesel,Sedan,391,102,2591,22357
BMW,Diesel,SUV,344,277,3030,44851
Ford,Diesel,Hatchback,161,59,3295,43262
Toyota,Diesel,Hatchback,269,262,3762,16317
Ford,Gasoline,SUV,368,261,3017,26534
Ford,Diesel,Sedan,366,161,2015,30734
Ford,Gasoline,Sedan,153,57,3447,40897
BMW,Diesel,Hatchback,115,85,2523,37872
Honda,Gasoline,Sedan,107,270,2802,45201
Toyota,Gasoline,SUV,203,155,3776,12689
Honda,Diesel,SUV,158,253,2020,8567
Ford,Gasoline,Hatchback,139,63,3713,25732
Ford,Gasoline,SUV,336,289,3962,25774
Honda,Diesel,SUV,193,231,2227,28195
Honda,Gasoline,Hatchback,321,291,3007,42412
Honda,Diesel,SUV,303,262,3808,49098
Ford,Diesel,SUV,237,135,3311,27257
Ford,Diesel,SUV,399,198,2808,9394
Toyota,Gasoline,Sedan,306,285,3157,41302
Toyota,Gasoline,Hatchback,180,99,3306,27228
Ford,Gasoline,Hatchback,317,271,2403,17388
Honda,Diesel,Hatchback,101,216,3688,16319
Honda,Gasoline,Sedan,277,69,3089,11475
Toyota,Diesel,Sedan,378,265,3672,36555
Ford,Diesel,Hatchback,245,136,3627,23158
Toyota,Gasoline,Sedan,323,184,2436,19728
Toyota,Diesel,Hatchback,161,186,2828,49774
BMW,Gasoline,Sedan,393,178,2933,34545
BMW,Gasoline,SUV,338,203,2258,36100
BMW,Gasoline,SUV,294,215,3989,21150
Honda,Gasoline,Hatchback,265,87,2102,38214
Ford,Gasoline,Sedan,321,295,2992,37876
Ford,Diesel,Sedan,160,238,3590,8239
Ford,Diesel,SUV,228,93,2768,43699
Ford,Diesel,SUV,272,135,3124,41821
BMW,Gasoline,Sedan,255,93,3221,35615
Honda,Gasoline,Sedan,209,123,2812,18746
Honda,Gasoline,Sedan,368,168,2225,25921
BMW,Diesel,Sedan,377,239,2942,27745
Honda,Gasoline,Sedan,173,171,2462,6245
BMW,Diesel,Sedan,306,183,2236,29853
Ford,Diesel,Hatchback,378,194,3049,32632
BMW,Gasoline,Sedan,303,100,3144,17856
Ford,Gasoline,SUV,260,291,3933,10105
Ford,Diesel,Hatchback,127,87,2505,40690
Toyota,Gasoline,Sedan,356,201,3205,7513
BMW,Diesel,SUV,264,100,3734,7801
Toyota,Gasoline,Hatchback,162,59,2813,37345
BMW,Gasoline,SUV,121,169,2766,18895
BMW,Diesel,Sedan,169,249,2633,44749
Toyota,Gasoline,Sedan,195,198,3566,13221
Toyota,Diesel,Sedan,262,297,3338,11038
BMW,Gasoline,Sedan,178,119,2990,37031
Honda,Diesel,Hatchback,104,134,3820,20082
Ford,Diesel,Hatchback,219,106,2617,19648
Toyota,Gasoline,SUV,277,175,3759,5364
Ford,Diesel,Sedan,275,88,2272,39568
Honda,Gasoline,SUV,316,265,3933,19110
Honda,Gasoline,Hatchback,155,82,2231,10958
Honda,Gasoline,Sedan,286,236,3443,14096
Toyota,Diesel,Sedan,331,67,2767,12436
Honda,Diesel,Hatchback,354,233,3465,26177
Toyota,Gasoline,Hatchback,203,269,2495,31754
Honda,Gasoline,Hatchback,176,106,3047,29544
Ford,Diesel,Hatchback,329,293,3132,17638
Ford,Gasoline,Hatchback,357,145,3726,5179
BMW,Gasoline,Sedan,363,253,2501,8873
Ford,Diesel,Hatchback,281,97,3882,22570
BMW,Gasoline,Sedan,355,91,2024,22157
Ford,Diesel,Sedan,137,76,3210,9460
Toyota,Gasoline,Hatchback,275,123,2287,5352
Ford,Diesel,Hatchback,126,159,3651,26586
BMW,Gasoline,Sedan,375,298,2337,10344
BMW,Gasoline,Hatchback,239,229,3901,9507
Honda,Diesel,Hatchback,398,219,3937,42598
Toyota,Gasoline,Hatchback,386,81,3060,48988
Ford,Diesel,SUV,190,283,3817,37885
Honda,Gasoline,Sedan,160,75,2136,21865
Ford,Diesel,SUV,262,74,2507,42055
Ford,Diesel,Hatchback,242,124,2226,32213
Honda,Diesel,SUV,352,72,2319,9477
Honda,Diesel,Hatchback,368,275,3863,11533
Honda,Gasoline,SUV,390,106,2915,28396
